date,actual_y_h5,lasso_bic_y_h5,lasso_bic_var_count_y_h5,lasso_aic_y_h5,lasso_aic_var_count_y_h5,lasso_cv_y_h5,lasso_cv_var_count_y_h5,lasso_val_y_h5,lasso_val_var_count_y_h5,ridge_cv_y_h5,ridge_val_y_h5
2024-11-07,-5.89742196217559,-7.25235048311836,5,-7.294621576675311,32,-7.2950966008999005,31,-7.276425561698102,4,-7.182279176314466,-7.354401022681423
2024-11-08,-5.970825445834223,-6.998586560712508,4,-6.896842467399697,34,-6.899078002010224,34,-7.055336378817475,3,-6.8286396738372215,-7.202816073001014
2024-11-09,-6.298780197423048,-7.466356324962942,5,-7.647384321520694,35,-7.646419132581678,34,-7.464273680494172,3,-7.5739282784726,-7.548184513543645
2024-11-10,-6.69026855754187,-7.718487402741511,5,-7.822367017982464,36,-7.8206573738997625,35,-7.6917288950394695,3,-7.666051021084211,-7.572007867622553
2024-11-11,-7.962925402749825,-7.9325981336812506,4,-7.980171410316665,33,-7.97816148353988,33,-7.922023746717251,3,-7.866198015432553,-7.575653639978062
2024-11-12,-7.719913234094788,-7.196746995509301,4,-7.225049315959111,33,-7.226162455302838,33,-7.202883494329127,3,-7.283806860643296,-7.227642594322647
2024-11-13,-6.813641525214108,-6.978309757793481,4,-6.966174107649679,35,-6.966004983559987,34,-7.019911010887098,3,-6.653694138729412,-6.8033540946423114
2024-11-14,-7.123061515534054,-6.723022466530143,4,-6.5374946087099595,36,-6.542299125013663,36,-6.773906206493441,3,-6.25606216701254,-6.506545898708683
2024-11-15,-7.349584827177567,-6.768832208750357,4,-6.534685455388923,36,-6.542413657366926,36,-6.815036668378794,3,-6.359001047676024,-6.478666531951673
2024-11-16,-6.927758814622679,-6.875936221017921,4,-6.685835033126324,34,-6.686227243033565,34,-6.944030052091261,3,-6.759645114014373,-6.812392647872681
2024-11-17,-7.639603303246092,-7.188796221929367,4,-7.168002259096706,37,-7.168300482777642,35,-7.19613365429211,3,-7.236663261334753,-7.132449691649122
2024-11-18,-8.458730870211758,-7.621537581922087,4,-7.627921885981625,35,-7.627924607026127,35,-7.61584902905067,3,-7.467286870891503,-7.265992326335999
2024-11-19,-7.906636805257383,-7.4474244271386425,4,-7.431581244382614,35,-7.432182727302213,35,-7.461147170433382,3,-7.385903090840158,-7.351613186427899
2024-11-20,-6.845783544407805,-7.147448412547367,4,-7.217086626343148,35,-7.2177118284440915,35,-7.169155126470313,3,-7.27390667203838,-7.285920557286789
2024-11-21,-6.704121318827724,-7.286952252099364,4,-7.334830790569417,36,-7.335978676749196,36,-7.292019539808208,3,-7.155990830522049,-7.221004546371023
2024-11-22,-7.421131408187987,-7.323059090916412,4,-7.248555597429494,34,-7.253162607562932,34,-7.340521201773259,3,-7.056028803038624,-7.197552169061269
2024-11-23,-7.777480941685613,-7.24346306408179,4,-7.224114160232474,34,-7.228560044574719,34,-7.254068942862992,3,-7.033374627150643,-7.257328535149352
2024-11-24,-7.7915055329164575,-7.586588722761633,4,-7.5903000998638985,32,-7.591223452703233,32,-7.572008037899109,3,-7.54951206774419,-7.451979356125242
2024-11-25,-8.944575839059315,-7.859210330829345,4,-7.917940013350339,32,-7.917238279710518,31,-7.827446105762538,3,-7.514893864990413,-7.429550467245164
2024-11-26,-8.526681786585359,-7.545066721296192,4,-7.551138303960425,31,-7.552254479709399,31,-7.553102885845577,3,-7.628918243316505,-7.3896640069010875
2024-11-27,-7.227776218845283,-7.144772540313081,4,-7.2559651976014266,32,-7.255638312792453,31,-7.170903782406152,3,-7.20148106996358,-7.180343618405258
2024-11-28,-7.477860175072574,-7.156035773991781,4,-7.138042929297,32,-7.138502813582221,32,-7.172456023752731,3,-7.13848926842897,-7.104260127001516
2024-11-29,-7.352016227925319,-7.442179002235837,4,-7.475795158881696,34,-7.478235176325895,35,-7.446568479252909,3,-7.260065871083163,-7.235074003945965
2024-11-30,-5.520755763032788,-7.584828331749174,4,-7.646902213324255,33,-7.648004294445141,32,-7.57923546444363,3,-7.498134423468057,-7.43389682417477
2024-12-01,-7.056676956855624,-7.696056594182402,4,-7.6943818519882035,37,-7.696946436619031,35,-7.669867849594314,3,-7.5644998676450275,-7.518601212572313
