day,EMA10,EMA30,EMA200,RSI14,MOM10,ROC10,ATR14,BB_WIDTH,OBV,STOCH_K
2025-04-04,82987.54637132505,82749.61610983984,82655.000635241,68.00107592991037,660.0099999999948,0.007994977292185679,146.51928571428496,0.010409181979149891,-80371.19196700785,85.49861816233837
2025-04-05,83851.96914586128,83948.31097987456,83585.7954594015,40.85925600669572,23.779999999998836,0.0002835472596849353,75.63214285714432,0.0076373387983239005,-79147.86744700787,53.29302718442176
2025-04-06,83344.5103451334,83199.8813116382,83165.13704457805,79.08905011344727,296.04000000000815,0.00355637992622726,88.90285714286021,0.007437373842197146,-80327.30668700785,74.1473502800526
2025-04-07,78144.77057850447,78389.29215334708,80749.83355076255,53.70232600777796,799.9799999999959,0.01030503405770089,414.2650000000015,0.026229383922464305,-83809.51760700802,82.05139745263043
2025-04-08,79464.86260414922,79474.50117301113,78555.88677801164,28.34868338800659,-790.7599999999948,-0.009890186857442917,223.21928571428725,0.013539538926122292,-82295.22263700806,6.413234277204418
2025-04-09,76449.2605058397,76620.97742185216,77838.47004072818,42.413720126353034,-255.58000000000175,-0.0033375120791873103,171.8064285714281,0.006698556519553881,-87192.61314700807,2.9502223441137847
2025-04-10,82766.35457308876,82878.30768729594,80219.8335745209,27.468430547203937,-505.5599999999977,-0.006082233588279529,133.02428571428442,0.010811625569155566,-77199.5877870081,13.543430342140768
2025-04-11,79629.39702480605,79677.78822107104,80256.9205250098,37.052053361235224,-57.270000000004075,-0.000718889212607321,120.61142857142944,0.006375291181232479,-80811.20236700826,51.27714063022109
2025-04-12,83407.60987965541,83480.39923622437,82793.40017014128,47.40839481678943,98.08999999999651,0.001177187124028256,92.57214285714144,0.004382455291421319,-79124.75901700833,60.06331146487937
2025-04-13,85292.12321844722,85329.30009152406,84634.74480393426,42.995174998162554,-116.51000000000931,-0.001364390999258669,86.73785714285415,0.004974674289237145,-77723.6169870083,41.27891261535842
2025-04-14,83589.50491689435,83551.57425032389,84109.72238279368,67.75647354842854,365.5,0.004382783037250704,178.13142857142935,0.007551794902346515,-79068.83655700834,88.02055406613141
2025-04-15,84578.11034262214,84622.3655251844,84667.7017465598,52.786033167367734,71.58000000000175,0.0008469001419781907,109.0571428571441,0.0035372912483755867,-79610.37335700842,46.66741158723939
2025-04-16,83699.24133692704,83828.69088529385,84601.23879967665,44.377958162689886,-27.769999999989523,-0.00033189214616724527,108.75928571428709,0.005719093696104535,-81731.2843970084,16.891295165689982
2025-04-17,84165.87036801761,84293.95855576725,84259.00602359322,7.685964676777061,-295.6299999999901,-0.0035057985074828935,84.45142857142699,0.007060906274713074,-81178.71860700846,1.270334308982878
2025-04-18,84921.9252956623,84931.9154230862,84751.52411135906,59.69083104994055,116.58000000000175,0.001374256421536657,64.66499999999567,0.003891303312017132,-80930.40374700841,77.69739984985972
2025-04-19,84459.71558772848,84482.90512605241,84560.32874462957,44.5674093748467,59.83999999999651,0.0007088800134098516,42.97428571428879,0.002221360655749242,-80624.01876700834,68.71273782985564
2025-04-20,85138.8749524282,85193.09117592715,85155.3973840709,29.960600696625235,-112.13000000000466,-0.0013162475874273216,38.77571428571433,0.0031897890271494916,-79129.1786470083,5.155869080340322
2025-04-21,85084.21999607871,84996.97590847453,84769.33225112227,73.06602927995195,130.99000000000524,0.0015401845423039795,110.38999999999734,0.008188669682911846,-79797.43897700834,77.73611788084527
2025-04-22,87355.63193778225,87244.6127965035,87147.26629504943,71.99160161266799,396.72000000000116,0.004553744620464428,95.24357142857168,0.007306569902047291,-74174.52729700839,81.60596944691909
2025-04-23,93379.13892067834,92889.72460589762,90758.13016076635,67.93866220146325,419.70000000001164,0.00451177334192332,271.09857142857174,0.015609683972280354,-65911.1786770084,65.13009663367686
2025-04-24,93649.04408607006,93641.41512731307,93403.17820990068,46.20451944318798,-141.31999999999243,-0.0015060895809975161,79.75071428571495,0.004850993465062496,-68701.61753700842,52.44095485341579
2025-04-25,93789.90784630025,93604.45287044908,93204.82808630937,71.53878216612694,471.820000000007,0.005045736410481894,130.30285714285648,0.009004111666937693,-68095.63226700838,96.47167124548726
2025-04-26,94724.08738765513,94787.51694278422,94580.37726847694,33.77009672481759,-317.84000000001106,-0.003347216178520518,94.84714285714186,0.004395404563897141,-65339.3317470084,8.081834408895643
2025-04-27,94648.81733135453,94587.55735369735,94401.89070641078,41.85713914241914,-151.99000000000524,-0.001603608525386102,90.39357142857105,0.002877246043071772,-65160.698947008445,21.92192192192192
2025-04-28,93791.82914457591,93931.3294945716,94093.53864351504,36.78511904037747,24.120000000009895,0.0002573481320602422,100.98928571428716,0.003929856235845118,-66533.99279700851,25.396012854421333
2025-04-29,95001.2066523843,94820.25807418936,94463.18773812847,67.06199232851932,21.179999999993015,0.00022297083903555226,101.92214285714103,0.008316703756976823,-65476.27358700845,60.23367017642865
2025-04-30,94133.9497055134,94260.4879671514,94762.96256360711,50.55572877501285,373.3600000000006,0.003976845335696089,134.3850000000031,0.006834660272748358,-67446.59659700839,92.25415276432524
2025-05-01,94223.2679046827,94288.44048028934,94369.90088453234,55.24002925987818,-4.669999999998254,-4.9587652653282355e-05,107.98928571428301,0.00454900029762248,-67723.10415700833,50.86191143327093
