date,actual_y_h1,rf_val_y_h1_pred,rf_val_y_h1_m,rf_cv_y_h1_pred,rf_cv_y_h1_m
2024-12-13,-8.329129180116265,-7.685259787300006,127,-7.644482425619466,170
2024-12-14,-7.954173621957407,-7.746771753787686,127,-7.687750413052747,170
2024-12-15,-7.167863912303163,-7.341192456042985,127,-7.32102471047593,170
2024-12-16,-7.46114260237137,-7.335720279333685,127,-7.177017218210144,170
2024-12-17,-6.653480385951037,-7.227850570892733,127,-7.282416239852264,170
2024-12-18,-6.215955295754829,-6.694372736773828,127,-6.880480200666098,170
2024-12-19,-6.228600657732804,-6.531413936502774,127,-6.549909231804597,170
2024-12-20,-7.472773492215738,-6.535610073163518,127,-6.63864188328343,170
2024-12-21,-7.349660055218582,-7.601528401856866,127,-7.508311650183623,170
2024-12-22,-6.840440061328796,-7.133925278331777,127,-7.093739204660032,170
2024-12-23,-7.374187208078972,-6.690469545877228,127,-6.831043905931226,170
2024-12-24,-7.715762789103233,-7.331482123891768,127,-7.38850093367069,170
2024-12-25,-7.307697534873444,-7.675676137424473,127,-7.675658575241678,170
2024-12-26,-7.106588924470662,-7.205295312689055,127,-7.177977713291277,170
2024-12-27,-8.634132442724063,-7.1707531001774445,127,-7.1881053599609235,170
2024-12-28,-8.326756050975344,-7.7247298562595486,127,-7.745385452774785,170
2024-12-29,-7.3543943334481,-7.512633962782363,127,-7.485373827903504,170
2024-12-30,-7.276893060792656,-7.310491696552239,127,-7.303163974692991,170
2024-12-31,-8.238782332690736,-7.35533708773541,127,-7.275627021522512,170
2025-01-01,-7.367896287600902,-7.78161144803767,127,-7.8029455810708646,170
2025-01-02,-8.097617541330267,-7.5783408020658785,127,-7.475318629591067,170
2025-01-03,-9.19804542909942,-7.86801628439094,127,-7.781651409300362,170
2025-01-04,-8.787325094170878,-8.358018476753506,127,-8.302767318480543,170
2025-01-05,-7.415021751205516,-7.435114703991974,127,-7.3519590588948525,170
2025-01-06,-7.590481289361926,-7.394909373206145,127,-7.380809503112931,170
2025-01-07,-6.90681582272137,-7.662335812778755,127,-7.65436675142979,170
2025-01-08,-6.968115739055578,-7.407396044667582,127,-7.497892666284227,170
2025-01-09,-6.709305206835529,-7.249035595602049,127,-7.207576595482837,170
2025-01-10,-8.995729032967116,-7.3092354212056225,127,-7.151984791837617,170
2025-01-11,-8.852150045924287,-8.203607481294705,127,-8.294775153767398,170
2025-01-12,-6.553319507908563,-7.528662859062227,127,-7.617978237387762,170
2025-01-13,-7.303486208762694,-6.912244189665975,127,-6.976449589902196,170
2025-01-14,-7.312096925574036,-7.10148307360007,127,-7.104816056059073,170
